company_size,product_category,product_subcategory,NAICS,NAICS_description,UPCs,Formulas,Units,5th Percentile,Mean,95th Percentile,food,n_items,BEA_Code,BEA_Title,RCPTOT,proportion,proportion_final
Total,Condiments/dips/spreads,Sandwich spreads/horseradish/sauerkraut - refrig,311421,Fruit & Vegetable Canning,532.6500000000001,438.85,50555309.620000005,40179215.260000005,87003011.13500002,159369044.55200002,misc,41,311420,"Fruit and vegetable canning, pickling, and drying",23528071,0.5933574729161049,0.00964808899050577
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,241.20000000000005,215.74,367716601.15999997,39874400.769999996,86036179.293,156417961.98250002,misc,7,311910,Snack food manufacturing,11127118,0.3504825312438618,0.0333792886898916
Total,Entrees,Entrees - refrigerated,311991,Perishable Prepared Food Manufacturing,5045.77,4553.32,447320162.78000003,482608430.166,1045467588.0840001,1913579885.6720002,misc,17,311990,All other food manufacturing,10156599,0.4692463994300628,0.018401819585492658
Total,Entrees,Sandwiches - refrigerated/frozen,311999,All Other Miscellaneous Food Manufacturing,3019.6900000000005,2736.9500000000003,360010185.45,313503555.7160001,678754929.1950002,1241077323.5809999,misc,35,311990,All other food manufacturing,11487891,0.5307536005699371,0.010109592391808326
Total,Fruits & vegetables,Fruit - fresh,111339,Other Noncitrus Fruit Farming,7941,4455,2482218443,462181220.8,991394269.5,1801190788.5,fruit,27,111300,Fruit and tree nut farming,NA,NA,1
Total,Fruits & vegetables,Fruit/fruit salad - refrigerated,311991,Perishable Prepared Food Manufacturing,2953,1751,270791933,197557658.10000002,428291982.70000005,784268691.9,fruit,17,311990,All other food manufacturing,10156599,0.4692463994300628,0.018401819585492658
Total,Fruits & vegetables,Garlic/herbs - fresh,111219,Other Vegetable (except Potato) & Melon Farming,2266,1881,159730333,160725788.2,345493853.70000005,630323500.3,vegetables,67,111200,Vegetable and melon farming,NA,NA,1
Total,Fruits & vegetables,Leafy greens - fresh,111219,Other Vegetable (except Potato) & Melon Farming,545,441,1159062282,46574841.3,100046273.7,182032860.70000002,vegetables,67,111200,Vegetable and melon farming,NA,NA,1
Total,Fruits & vegetables,Vegetables - fresh,111219,Other Vegetable (except Potato) & Melon Farming,10194,7949,3223188237,722091611.3,1552187823.8000002,2830133179.05,vegetables,67,111200,Vegetable and melon farming,NA,NA,1
Total,Fruits & vegetables,Vegetables - precut salad mix - fresh,311991,Perishable Prepared Food Manufacturing,1193,781,1336157890,123705606.9,267310982.2,487023369.84999996,vegetables,17,311990,All other food manufacturing,10156599,0.4692463994300628,0.018401819585492658
Total,Meat & poultry,Meat - frozen,311612,Meat Processed from Carcasses,1140,910,94244059,79817997.4,172893633.5,316821610.55,meat,34,31161A,"Animal (except poultry) slaughtering, rendering, and processing",44419369,0.3138318765048795,0.3138318765048795
Total,Meat & poultry,Poultry - frozen,311615,Poultry Processing,785,653,160769132,75756797.8,164113694.10000002,300237630.9,poultry,24,311615,Poultry processing,58024701,1,1
Total,Seafood,Seafood - refrigerated,311710,Seafood Canning,1854,1538,84111310,118753356.3,257032855.6,471084888.3,seafood,26,311700,Seafood product preparation and packaging,10758078,1,1
Total,Side dishes & starches,Ready-made salads,311991,Perishable Prepared Food Manufacturing,3240.1200000000003,2476.99,270998424.87,261867779.909,568245142.1930001,1041955639.5699999,vegetables,17,311990,All other food manufacturing,10156599,0.4692463994300628,0.018401819585492658
