BEA_389_code,BEA_389_def,primary_loss_mass,primary_loss_value,retail_loss_mass,retail_loss_value,avoidable_consumer_loss_mass,avoidable_consumer_loss_value
1111B0,"Fresh wheat, corn, rice, and other grains",0,0,12,12,21.20122234883823,21.20122234883823
111200,"Fresh vegetables, melons, and potatoes",13.50397534655753,13.217397316826448,9.824872888564892,10.67485541729806,21.87178864866005,21.358984167410213
111300,Fresh fruits and tree nuts,2.6075047795489006,1.6084904579242956,8.58142922465996,7.592405240534513,23.382500671214295,21.580536219785497
111400,"Greenhouse crops, mushrooms, nurseries, and flowers",12.319837376920425,11.754773414430966,10.016013682958468,10.764049407977566,22.759499913036937,22.588461466601668
111900,"Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops",0,0,6,6,18.679233843130334,18.679233843130334
112120,Dairies,0,0,12,12.000000000000002,21.74173085215088,21.668130962404806
112300,Poultry farms,19.288210652837165,26.945106619064493,6.439263631977295,5.337000321206496,20.826745639341993,19.891273102364018
112A00,Animal farms and aquaculture ponds (except cattle and poultry),20.415148099937188,17.651608144214055,5.960952038678817,6.367808183353216,29.275641295385928,30.727366927481604
114000,Wild-caught fish and game,0,0,8.966527706834446,8.966527706834446,40.00000000000001,40.00000000000001
311210,Flours and malts,0,0,12,12,21.20122234883823,21.20122234883823
311221,Corn products,0,0,12,11.999999999999998,21.20122234883823,21.20122234883823
311225,"Refined vegetable, olive, and seed oils",0,0,20.51554550340126,20.515545503401256,15.361888194587547,15.361888194587547
31122A,Vegetable oils and by-products,0,0,20.51554550340126,20.515545503401256,15.361888194587547,15.361888194587547
311230,Breakfast cereals,0,0,12,12.000000000000002,21.20122234883823,21.201222348838225
311300,"Sugar, candy, and chocolate",7.922702032663733,12.86937292237173,10.555867814540466,10.278566491843062,28.48601208198508,25.2024605444352
311410,Frozen food,15.845404065327466,15.845404065327466,10.111735629080933,10.111735629080933,23.227000310041994,23.227000310041998
311420,Fruit and vegetable preservation,25.14192531517378,21.689146635543697,7.874139718713952,8.795868349278209,20.304606123210384,20.72590416092697
311513,Cheese,0,0,6,6,23.248487649921323,23.24848764992132
311514,"Dry, condensed, and evaporated dairy",0,0,12,12,21,21
31151A,Fluid milk and butter,0,0,12,11.999999999999998,21.37086542607544,21.14482018744948
311520,Ice cream and frozen desserts,0,0,12,11.999999999999998,24,23.999999999999996
311615,Packaged poultry,25.217614203782887,31.93453486829703,5.585684842636393,4.618737499678026,20.10232751912266,19.281695393202735
31161A,Packaged meat (except poultry),30.622722149905783,30.622722149905787,4.458164204601003,4.458164204601002,23.913461943078886,23.913461943078886
311700,Seafood,0,0,7.483263853417223,7.8905830443453,29.08826247689464,32.08473548423665
311810,Bread and other baked goods,6.790887456568914,7.177994587215586,11.190743841034685,11.144613076586191,22.069412903639844,22.118903159025937
3118A0,"Cookies, crackers, pastas, and tortillas",9.50724243919648,11.073483366743964,10.86704137744856,10.680395651812908,22.416689125560488,22.61692739906112
311910,Snack foods,15.845404065327466,15.845404065327466,10.111735629080933,10.111735629080933,23.227000310041994,23.227000310041994
311940,Seasonings and dressings,15.845404065327466,15.845404065327465,10.111735629080933,10.11173562908093,23.227000310041994,23.227000310041994
311990,All other foods,15.845404065327466,15.845404065327468,10.111735629080933,10.111735629080933,23.227000310041994,23.227000310041994
