QFAHPD_name,price,QFAHPD_code,primary_loss,retail_loss,avoidable_consumer_loss
Baked good mixes,0.6571058192618794,45,15.845404065327466,10.111735629080933,23.227000310041994
"Bakery items, ready to eat",0.5663934173816828,47,15.845404065327466,10.111735629080933,23.227000310041994
Canned dark green vegetables,0.19810170585459155,5,51.79949656352074,6,21.305524097049798
Canned fish,0.6983621960306295,34,0,6,18.17652495378928
Canned Fruit,0.291144372106167,2,21.34624219583407,6,10.704988678854551
Canned Legumes,0.16677915789195663,15,51.79949656352074,6,21.305524097049798
Canned meat,0.6106979073938725,30,30.622722149905783,4.458164204601003,23.913461943078886
Canned orange vegetables,0.19967640612815604,7,25,6,30.999999999999996
Canned other vegetables,0.26195845879450746,13,23.999999999999996,6,16
Canned poultry,0.7765654764458964,32,37.07642130567433,3.8785272639545894,18.65349127868399
Canned select nutrients,0.27066661810363407,11,55.87737683482758,6,23.998335221009683
"Canned soups, sauces, prepared foods",0.25322142029770267,49,15.845404065327466,10.111735629080933,23.227000310041994
Canned starchy vegetables,0.1694817540821817,9,27.962450600335828,6.000000000000001,10.863992128108753
Diet nonalcoholic carbonated beverages,0.0824616369625738,NA,NA,NA,NA
Eggs,0.22790472225436872,37,1.5000000000000013,9,23
Fresh/Frozen dark green vegetables,0.3807846794726414,4,10.355425524075727,14.817686084537968,19.720957115515912
Fresh/frozen fish,1.2271186173950412,33,0,8.966527706834446,40.00000000000001
Fresh/Frozen fruit,0.45127609019739484,1,5.215009559097801,11.162858449319922,28.085767499298257
Fresh/frozen low fat meat,0.9398335265650942,28,30.622722149905783,4.458164204601003,23.913461943078886
Fresh/Frozen orange vegetables,0.27516089981811015,6,7.731338402680481,10.193949102472994,41.93195543295973
Fresh/Frozen other vegetables,0.3598875242109865,12,18.88815624698832,9.185152874720037,25.461878614495493
Fresh/frozen poultry,0.5723896785493287,31,37.07642130567433,3.8785272639545894,18.65349127868399
Fresh/frozen regular fat meat,0.730078323043375,29,30.622722149905783,4.458164204601003,23.913461943078886
Fresh/Frozen select nutrient vegetables,0.5416058304155338,10,11.715074300867867,13.130819910416424,15.183273382840149
Fresh/Frozen starchy vegetables,0.23061145452584342,8,32.333857604732785,5.621629359241933,18.932667346149014
Frozen entrees and sides,0.6672702636740262,48,15.845404065327466,10.111735629080933,23.227000310041994
Frozen/Dried Legumes,0.22971990685662613,14,0,6,10
Fruit Juice,0.18030281194252096,3,33.10495533112474,6,10.074228234824641
Ice cream and frozen desserts,0.3447336379711502,44,0,12,24
Low fat cheese,0.5693579787301961,23,0,6,23.248487649921323
Low fat milk,0.09442578131277671,22,0,11.999999999999998,22.559030294513338
Low fat yogurt & other dairy,0.3204259639067754,24,0,12,21
Non-carbonated caloric beverages,0.10870226001533907,42,NaN,NaN,NaN
Nonalcoholic nondiet carbonated beverages,0.0904327621242784,NA,NA,NA,NA
Oils,0.6184827567491604,38,0,20.51554550340126,15.361888194587547
"other bread, rolls, rice, pasta, cereal",0.4150832767491197,19,0,12,21.20122234883823
other flour and mixes,0.18628672669174165,20,0,12,21.20122234883823
other frozen/ready to cook grains,0.5284260098721817,21,0,12,21.20122234883823
Packaged snacks,0.8170845056238716,50,15.845404065327466,10.111735629080933,23.227000310041994
Packaged sweets/baked goods,0.8887623932992601,46,15.845404065327466,10.111735629080933,23.227000310041994
"Processed nuts, seeds and nut butters",0.3780995601685818,36,0,6,18.679233843130334
Raw nuts and seeds,1.011840531090302,35,0,6,18.679233843130334
Raw sugars,0.20552551993800042,40,0,11,33.74502385392817
Ready to cook meals and sides,0.6946236165259535,51,15.845404065327466,10.111735629080933,23.227000310041994
Ready to eat deli items (hot and cold),0.8706576994971842,52,15.845404065327466,10.111735629080933,23.227000310041994
Solid fats,0.47216398015482114,39,0,21.46580121173684,35
Unsweetened coffee and tea,0.05961879153539099,54,NaN,NaN,NaN
Water,0.07029550509057145,43,NaN,NaN,NaN
Regular fat cheese,0.8903643244108425,26,0,6,23.248487649921323
Regular fat milk,0.11311539076422145,25,0,12.000000000000002,20.924431409788422
Regular fat yogurt & other dairy,0.42952840024316524,27,0,12,21
"Whole grain bread, rolls, rice, pasta, cereal",0.49515830297085445,16,0,12,21.20122234883823
Whole grain flour and mixes,0.23522348992675843,17,0,12,21.20122234883823
Whole grain frozen/ready to cook,1.1118827415861035,18,0,12,21.20122234883823
